,spearman,p_value,change,slope,spearman*abs-change
lt,0.008082340066775318,0.9407733702884148,-0.0003796507213363705,-4.414543271353146e-06,3.0684662364370985e-06
lug,0.09091519923499944,0.399557239611781,-0.00037699179897192185,-4.3332390686427796e-06,3.427428451349313e-05
lulz,-0.2542009532350958,0.023781103452533096,-0.00023089764835433353,-2.960226260952994e-06,-5.869440231141353e-05
lurker,-0.0401708825126388,0.7150957402462479,-0.00043841858538038006,-5.219268873575953e-06,-1.761166148467255e-05
lv,-0.01591277584092058,0.8850697680991108,-0.0004242985669984659,-5.051173416648404e-06,-6.75176798627041e-06
lvl,-0.05685787339977128,0.6327954009862653,-7.759155803848541e-05,-1.0776605283122975e-06,-4.411690983843209e-06
ly,0.012104768097230318,0.9179047226115831,-0.0004759668463945772,-6.43198441073753e-06,5.761468297576401e-06
mia,0.4006959386869551,0.00012014114156797861,-0.00023562611451139322,-2.7398385408301538e-06,9.441442713330267e-05
mb,-0.10702939003223269,0.36073655318524767,-7.872770680777524e-05,-1.0638879298348006e-06,-8.426178438272637e-06
mah,-0.012992704705764349,0.9125130519823642,-0.00013239217169882015,-1.8135913931345225e-06,-1.7201323922376222e-06
mai,-0.3121291325765658,0.007181176509530907,-0.00018565247899758177,-2.5785066527441912e-06,-5.7947547230204306e-05
mic,0.18002277822681723,0.1274965493279899,5.187425463557585e-05,7.204757588274423e-07,9.338547437941716e-06
mins,0.08747464302747995,0.4232052416051809,-5.395305398165468e-05,-6.347418115488786e-07,4.719524137287599e-06
misc,-0.11691897043155469,0.29552160902076446,-0.00015777324651700372,-1.9478178582346137e-06,-1.8446685544411948e-05
mofo,-0.3376247374347926,0.004258433224741399,-0.0002362376898574115,-3.4237346356146595e-06,-7.975968801031053e-05
mor,0.11782473829651341,0.27994567320614333,-0.00046602618374033656,-5.48266098518043e-06,5.4909413138528026e-05
mos,-0.20404057311339727,0.08120503898135782,-5.411198950498415e-05,-7.412601302052623e-07,-1.1041041350903104e-05
mph,0.1932493888557234,0.09003804540618979,-6.292630854924278e-05,-8.172247863538024e-07,1.216047067008785e-05
msg,0.010526725327191412,0.9276012356423968,-0.00027856225181895294,-3.665292787091486e-06,2.9323483114220438e-06
na,0.020835090584454333,0.8472121201061086,-0.0001545176606722495,-1.7760650651982701e-06,3.219389457004295e-06
nm,0.3124725686802638,0.003037304266709612,-7.813119645048636e-05,-8.980597293159352e-07,2.4413855648945782e-05
nn,-0.12264361659239763,0.26639339033114734,-0.0002754820936639118,-3.3190613694447207e-06,-3.378612027338777e-05
nt,0.1437290694086364,0.2186135982689665,-7.411844768662112e-05,-1.001600644413799e-06,1.0652975512010752e-05
